stage,state_key,parent_state_key,local_state,merged_from_count,rank,kept,prefix_mass_P,future_score_F,score_P_plus_alpha_F,detector_mask,logical_mask,next_column_index,next_boundary_column_index,alpha,Delta,K,best_score_after_next_column,cutoff_score_after_next_column,closure_rejected
step1_retained,18758318456445223658618499571407441072273378729401524175073171523277299799556096,-1,-1,1,1,True,-21.198215261683895,-20.46739371961927,-37.57213023737931,43641213567752800681042913995372797886464,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072229738845071909602049866633681235806781440,-1,-1,1,2,True,-20.27787563615576,-23.071623438725563,-38.73517438713621,1329238138227657738024399308805111808,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072273378729442166984502949843082512946954240,-1,-1,1,3,True,-26.29111902281841,-16.01100112191488,-39.09991992035032,43641213608395610110821233800585945284608,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072229823915663638598725693191952818849710080,-1,-1,1,4,True,-26.959225413083008,-15.74969958857935,-39.55898508394649,86399829867224333564582670891848040448,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072229738845112552411479644953486448954179584,-1,-1,1,5,True,-25.370779397290274,-18.615230841021177,-40.262964070107216,1329278781037087516344204521952509952,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,24316338739836401038949906851824460649230337995994053861902726342995984603152384,-1,-1,1,6,True,-26.177868648412137,-18.279839802865332,-40.801740490704404,43641216209535413616633701334227378765824,3360,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,42535295866355247972207206203870150656,-1,-1,1,7,True,-19.29058899353478,-27.172775896165994,-41.02880971046758,42535295866355247972207206203870150656,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,27037452836913331631403824999528626483738583965117830198717788408621798113935360,-1,-1,1,8,True,-21.039834800542316,-25.51529040515641,-41.452067124667444,42545690758495504442542774082343010304,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,127605887595351923798765477786913079296,-1,-1,1,9,True,-25.97193877046203,-19.850852046019778,-41.852620407277854,127605887595351923798765477786913079296,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,24316338739836401038949906851824460649186698111664439288879421453399920610377728,-1,-1,1,10,True,-25.255109785326272,-20.88406952197162,-41.96236540290357,1331879920840593328811738163385991168,3360,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,42535336509164677750527011417017548800,-1,-1,1,11,True,-24.383492754669295,-22.716383298461608,-42.55659939343858,42535336509164677750527011417017548800,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,1910569472415717224488921252643350479579093652616844249795301326312963643015168,-1,-1,1,12,True,-27.881984322426604,-18.608846772194898,-42.76906174018252,138905633774943144251190182397003956224,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072273293658809792702517266394245166958379008,-1,-1,1,13,True,-27.881984276168872,-18.66020154110962,-42.81014550905657,43556142976021328125137784963239956709376,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,5575186299673221842531272194390259778191360,-1,-1,1,14,True,-20.28434575996897,-28.210157433540815,-42.85247170680162,5575186299673221842531272194390259778191360,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,1910569472415717224488921252643350479578998114354647208966936365180505993248768,-1,-1,1,15,True,-25.971938816719756,-21.3474750788591,-43.04991887980704,43367371577902315886229049939354189824,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,27037452836913331631403824999528626489313727729495185686001088395805854021976064,-1,-1,1,16,True,-22.03359156973829,-26.55267194253124,-43.275729123763284,5575186310068113982787742529958138251051008,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,5575271370264950839207098752661842821120000,-1,-1,1,17,True,-26.965695539658007,-20.888233583394598,-43.67628240637369,5575271370264950839207098752661842821120000,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,28021685595430519292504178372102473700491337639097411523806657500661983408553984,-1,-1,1,18,True,-23.35153445245216,-25.46701818689136,-43.72514900196525,1350012395026257922170747006035689472,3872,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072235959632092181770395017165343072920272896,-1,-1,1,19,True,-28.875741091622576,-18.660201541109604,-43.80390232451026,6222116258410396002888556061145918603264,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,57896044618658097711785492504343955320569806962687064418319015190721940422656,-1,-1,1,20,True,-26.965695585915732,-21.35163914028209,-44.047006898141404,1393934814629866782398590223186765375602688,8,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,121695695561949307923958406840320,-1,-1,1,21,True,-20.38955741998311,-29.586908173485853,-44.059083958771794,121695695561949307923958406840320,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072235864093829984729566652204210615270506496,-1,-1,1,22,True,-26.96569558591572,-21.398829847773808,-44.08475946413477,6126577996213355174523594928688268836864,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,12968713994579413887439950320973045679566280820489392140602812403431328970702848,-1,-1,1,23,True,-24.267823142705296,-24.98522197941206,-44.256000726234944,42537937648968183562994545058451030016,1792,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,57896044618658097711785492504343955320474268700490023589954054058264290656256,-1,-1,1,24,True,-25.055650080208878,-24.090267446946285,-44.327864037765906,1393839276367669741570225262054307725836288,8,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,18758318456445223658618499571407441072229749645049374116551294691733325685456896,-1,-1,1,25,True,-25.05565008020888,-24.243403563658276,-44.450372931135504,12129215602742159166082451398683787264,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,27037452836913331631403824999528626483738541429943659539031765509339552650625024,-1,-1,1,26,True,-22.138803180732914,-27.929422682476275,-44.482341326713936,10516587835818419643491836879699968,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
step1_retained,8742302737417372754479609368155937042965525066198225116312909171736745307275264,-1,-1,1,27,True,-22.949880306249156,-27.012213143490545,-44.55965082104159,43641223942362531333861579139304019460096,1208,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
