decoder,corpus,p,frames,fail,fer,fer_lo_1sigma,fer_hi_1sigma,fer_per_round,fer_per_round_lo_1sigma,fer_per_round_hi_1sigma,logical_fail,syndrome_fail,exception_fail,mean_ms,p95_ms,decode_label,notes,source_decoder,decoder_label,ci_low95,ci_high95,per_round_ci_low95,per_round_ci_high95
FrontierFast,current same corpus,0.001,1000000,182,0.000182,0.00016900105786950555,0.00019599857713085953,3.0335633867006884e-05,2.81688266107194e-05,3.2669097580373396e-05,182,0,0,6.471920018483768,7.620124990353361,full-frame mean,TM/BR 10/172; esc 141 (0.0141%),"FrontierFast K4096/D12, disagree -> K16384/D16",FrontierFast,0.00015741149476064908,0.00021042855101765663,2.623697001302716e-05,3.507450057727013e-05
IonQ strong beam search (beam64 640iters),current same corpus,0.001,1000000,234,0.000234,0.0002191963418437381,0.00024980318915673096,3.900380304389106e-05,3.653606068743098e-05,4.16381989678527e-05,234,0,0,2.947437668630373,5.181832996458979,full-frame mean from paired side decodes,1.474 ms/side; 3.370 iters/side,IonQ strong beam search (beam64 640iters),IonQ strong beam search (beam64 640iters),0.00020588029434751048,0.00026595935192061257,3.431632628214665e-05,4.433147156146511e-05
Tesseract short beam,current same corpus,0.001,1000000,167,0.000167,0.00015456840657120363,0.0001804312584291314,2.7835270267173584e-05,2.576306037638254e-05,3.0074137448599103e-05,167,0,0,10.994273095581608,31.810118404246122,full-frame mean,rescues/breaks vs Frontier 48/33; both fail 134,Tesseract long beam strong_bfs,Tesseract short beam,0.00014352124719482637,0.00019431891382680125,2.3921638432122805e-05,3.238910816039109e-05
FrontierFast,current same corpus,0.002,100000,217,0.00217,0.002027745517959065,0.00232221098247593,0.00036199410792636666,0.0003382434789936939,0.0003874101866170321,217,0,0,10.41918799922918,13.995147887908383,full-frame mean,TM/BR 7/210; esc 101 (0.101%),"FrontierFast K4096/D12, disagree -> K16384/D16",FrontierFast,0.0019000881369618471,0.0024781582627125824,0.00031693236538066216,0.0004134535010946738
IonQ strong beam search (beam64 640iters),current same corpus,0.002,100000,313,0.00313,0.0029582587002010365,0.003311678600425956,0.0005223483111763683,0.0004936519464620037,0.0005527095905459856,313,0,0,3.280958165186166,6.181673255923668,full-frame mean from paired side decodes,1.640 ms/side; 7.665 iters/side,IonQ strong beam search (beam64 640iters),IonQ strong beam search (beam64 640iters),0.002802357321437317,0.003495815325060953,0.00046760585095717566,0.0005834863664774259
Tesseract short beam,current same corpus,0.002,100000,228,0.00228,0.0021340713499870493,0.0024358829504699453,0.00038036150380704736,0.00035599523951035383,0.00040639315658075326,228,0,0,18.478170015666254,36.40512744677816,full-frame mean,rescues/breaks vs Frontier 31/42; both fail 186,Tesseract long beam strong_bfs,Tesseract short beam,0.0020028965155116647,0.0025953414332779965,0.00033409501033454525,0.00043302541249712334
FrontierFast,current same corpus,0.003,50000,561,0.01122,0.010758634923343145,0.011700915885640678,0.0018788026732240448,0.001801197145935074,0.0019597289402082385,561,0,0,23.153531514829083,40.80402321123981,full-frame mean,TM/BR 17/544; esc 156 (0.312%),"FrontierFast K4096/D12, disagree -> K16384/D16",FrontierFast,0.010333592995180553,0.012181506364692634,0.001729728169489353,0.002040633238895917
IonQ strong beam search (beam64 640iters),current same corpus,0.003,50000,793,0.01586,0.015310883252727638,0.01642848195996811,0.0026609725905338832,0.002568247252696554,0.0027570134238321664,793,0,0,4.039769945170264,8.701021158049096,full-frame mean from paired side decodes,2.020 ms/side; 13.700 iters/side,IonQ strong beam search (beam64 640iters),IonQ strong beam search (beam64 640iters),0.014801530695304592,0.016992855744584527,0.0024822751184174763,0.002852405979746342
Tesseract short beam,current same corpus,0.003,50000,570,0.0114,0.010934912056597634,0.011884631552530184,0.001909088386354063,0.0018308448968281654,0.0019906524127104586,570,0,0,180.9784967524605,245.46975710400145,full-frame mean,rescues/breaks vs Frontier 78/87; both fail 483,Tesseract long beam strong_bfs,Tesseract short beam,0.010506294576506769,0.012368777126987727,0.0017587641136762588,0.0020721679416982886
FrontierFast,current same corpus,0.004,10000,399,0.0399,0.037988319915225256,0.041903690883694854,0.006763330576042725,0.006433993805078586,0.0071091056740375524,399,0,0,59.41113203002518,144.62957319919948,full-frame mean,matched 10000-frame subset used by Tesseract; full-grid TM/BR 81/1761; full-grid esc 370 (0.74%),"FrontierFast K4096/D12, disagree -> K16384/D16",FrontierFast,0.03623722186390825,0.04391613343678834,0.006132799712085912,0.007456998133085424
