circuit,distance,p,shots,rung0_fail_total,rung0_logical_fail,rung0_syndrome_fail,rung0_exception_fail,rung0_success,rung0_fer,rung0_wilson95_lo,rung0_wilson95_hi,final_fail_total,final_fer,rescued_net_fail_delta,committee_disagreed,escalated,primary_forward,primary_backward,matrix_rows,matrix_cols,K,Delta,escalation_K,escalation_Delta,plot_group,plot_x,plot_y,plot_ci_low,plot_ci_high
color_code_mpp,9,0.08,100000,5883,5883,0,0,94117,0.05883,0.05738845982012417,0.06030543360563236,5881,0.05881,2,28,28,48841,51159,60,61,1024,10.0,4096,14.0,d=9,0.08,0.05883,0.05738845982012417,0.06030543360563236
color_code_mpp,9,0.0825,100000,6657,6657,0,0,93343,0.06657,0.06504159020377091,0.06813170858700283,6657,0.06657,0,27,27,49107,50893,60,61,1024,10.0,4096,14.0,d=9,0.0825,0.06657,0.06504159020377091,0.06813170858700283
color_code_mpp,9,0.085,100000,7346,7346,0,0,92654,0.07346,0.0718593490832111,0.07509342037487127,7342,0.07342,4,22,22,46092,53908,60,61,1024,10.0,4096,14.0,d=9,0.085,0.07346,0.0718593490832111,0.07509342037487127
color_code_mpp,9,0.0875,100000,8128,8128,0,0,91872,0.08128,0.07960235985244576,0.08298980882455581,8131,0.08131,-3,33,33,54373,45627,60,61,1024,10.0,4096,14.0,d=9,0.0875,0.08128,0.07960235985244576,0.08298980882455581
color_code_mpp,9,0.09,100000,9018,9018,0,0,90982,0.09018,0.08842036918372828,0.0919711157398693,9019,0.09019,-1,38,38,53104,46896,60,61,1024,10.0,4096,14.0,d=9,0.09,0.09018,0.08842036918372828,0.0919711157398693
color_code_mpp,9,0.0925,100000,9705,9705,0,0,90295,0.09705,0.09523069506624213,0.09890026206118854,9707,0.09707,-2,29,29,49584,50416,60,61,1024,10.0,4096,14.0,d=9,0.0925,0.09705,0.09523069506624213,0.09890026206118854
color_code_mpp,9,0.095,100000,10632,10632,0,0,89368,0.10632,0.10442460128689103,0.10824564366143237,10630,0.1063,2,36,36,53140,46860,60,61,1024,10.0,4096,14.0,d=9,0.095,0.10632,0.10442460128689103,0.10824564366143237
color_code_mpp,9,0.0975,100000,11532,11532,0,0,88468,0.11532,0.11335508639068753,0.1173144671216094,11531,0.11531,1,26,26,50708,49292,60,61,1024,10.0,4096,14.0,d=9,0.0975,0.11532,0.11335508639068753,0.1173144671216094
color_code_mpp,9,0.1,100000,12459,12459,0,0,87541,0.12459,0.1225575147930795,0.12665132654011013,12456,0.12456,3,28,28,51083,48917,60,61,1024,10.0,4096,14.0,d=9,0.1,0.12459,0.1225575147930795,0.12665132654011013
color_code_mpp,9,0.1025,100000,13251,13251,0,0,86749,0.13251,0.13042272907974814,0.13462550378973812,13253,0.13253,-2,34,34,49727,50273,60,61,1024,10.0,4096,14.0,d=9,0.1025,0.13251,0.13042272907974814,0.13462550378973812
color_code_mpp,9,0.105,100000,14234,14234,0,0,85766,0.14234,0.14018818218767112,0.14451929548002176,14232,0.14232,2,38,38,46882,53118,60,61,1024,10.0,4096,14.0,d=9,0.105,0.14234,0.14018818218767112,0.14451929548002176
color_code_mpp,9,0.1075,100000,15354,15354,0,0,84646,0.15354,0.15131890593768516,0.15578771127628588,15355,0.15355,-1,24,24,46732,53268,60,61,1024,10.0,4096,14.0,d=9,0.1075,0.15354,0.15131890593768516,0.15578771127628588
