circuit,distance,rounds,p,source_p,stim_path,noise_model,matrix_rows,matrix_cols,logical_rows,matrix_nnz,frontier_max_active_detectors,shots,fail_total,logical_fail,syndrome_fail,exception_fail,fer,fer_per_round,wilson95_lo,wilson95_hi,K,Delta,selected_K,selected_Delta,escalation_K,escalation_Delta,score_alpha,decoder_mode,engine_requested,engines_seen,selected_forward,selected_backward,committee_disagreed,escalated,escalation_fraction,mean_decode_s,p95_decode_s,p99_decode_s,mean_transition_evals_total,mean_primary_transition_evals_total,mean_escalation_transition_evals_total,mean_selected_transition_evals,mean_pre_prune_state_count,mean_post_prune_state_count,max_pre_prune_state_count_max,max_post_prune_state_count_max,mean_sum_pre_prune_state_count,mean_sum_post_prune_state_count,elapsed_s,seed,plot_group,plot_x,plot_y
color_code_mpp,9,1,0.08,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,5881,5881,0,0,0.05881,0.05881000000000003,0.0573686929908355,0.06028520197144554,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,48838,51162,28,28,0.00028,0.0004440355116641149,0.000691852229647338,0.0008258813619613643,7297.31094,7291.9829,5.32804,4031.52824,41.150208852459016,33.05762672131148,512,512,2510.16274,2016.51523,5.210106228943914,20260602,d=9,0.08,33.05762672131148
color_code_mpp,9,1,0.0825,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,6657,6657,0,0,0.06657,0.06657000000000002,0.06504159020377091,0.06813170858700283,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,49114,50886,27,27,0.00027,0.0004817160075576976,0.0007790699834004026,0.0010392627399414774,7795.46084,7790.2741,5.18674,4329.63842,43.885921147540984,35.50179704918033,512,512,2677.04119,2165.60962,5.7799108936451375,20260602,d=9,0.0825,35.50179704918033
color_code_mpp,9,1,0.085,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,7342,7342,0,0,0.07342,0.07342000000000004,0.07181975597683102,0.07505301655430033,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,46094,53906,22,22,0.00022,0.00048319308184087276,0.0007491053780540822,0.00087183587718755,8280.4293,8276.40846,4.02084,4628.87418,46.60496918032787,37.955019672131144,512,505,2842.90312,2315.2562,5.731990892905742,20260602,d=9,0.085,37.955019672131144
color_code_mpp,9,1,0.0875,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,8131,8131,0,0,0.08131,0.08131,0.07963207385221015,0.08302009252000463,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,54378,45622,33,33,0.00033,0.0004991881585819646,0.0007677744142711159,0.0008799815317615864,8824.09398,8817.54974,6.54424,4929.08272,49.18707393442622,40.41641557377049,512,511,3000.41151,2465.40135,10.126491906121373,20260602,d=9,0.0875,40.41641557377049
color_code_mpp,9,1,0.09,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,9019,9019,0,0,0.09019,0.09018999999999999,0.08843028013502083,0.09198120402031451,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,53107,46893,38,38,0.00038,0.0005245727806212381,0.000799686112441122,0.0009097491297870868,9369.90996,9362.35024,7.55972,5227.34422,51.814571967213105,42.86151852459016,512,511,3160.68889,2614.55263,6.200448965653777,20260602,d=9,0.09,42.86151852459016
color_code_mpp,9,1,0.0925,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,9707,9707,0,0,0.09707,0.09706999999999999,0.09525052559280563,0.09892042999810056,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,49585,50415,29,29,0.00029,0.0005447647258033976,0.0008210793370380997,0.0009270791942253707,9919.41072,9913.62556,5.78516,5546.14374,54.50412131147542,45.47509081967213,512,512,3324.7514,2773.98054,6.360646682791412,20260602,d=9,0.0925,45.47509081967213
color_code_mpp,9,1,0.095,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,10630,10630,0,0,0.1063,0.10630000000000006,0.10440476036696937,0.10822548611787854,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,53142,46858,36,36,0.00036,0.0005620380059396848,0.0008500189520418642,0.0010513541614636755,10477.74904,10470.403,7.34604,5821.13046,56.81055606557376,47.72954721311476,512,512,3465.44392,2911.50238,6.959007773082703,20260602,d=9,0.095,47.72954721311476
color_code_mpp,9,1,0.0975,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,11531,11531,0,0,0.11531,0.11531000000000002,0.11334516141608278,0.11730439286447636,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,50707,49293,26,26,0.00026,0.0006003772750450299,0.0008980096084997057,0.0012313294969499096,11036.6929,11031.38512,5.30778,6134.70506,59.35990803278688,50.30005475409836,512,512,3620.95439,3068.30334,11.900744824670255,20260602,d=9,0.0975,50.30005475409836
color_code_mpp,9,1,0.1,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,12456,12456,0,0,0.12456,0.12456,0.12252772730985843,0.12662111632811796,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,51083,48917,28,28,0.00028,0.0006067523355828598,0.0008806513156741857,0.000965423719026148,11600.21842,11594.40824,5.81018,6438.46426,61.8543318032787,52.7900531147541,512,512,3773.11424,3220.19324,7.007202815730125,20260602,d=9,0.1,52.7900531147541
color_code_mpp,9,1,0.1025,0.084978,"scratch-better-beam-results:20260612_hex_color_code_codecap_bitflip_frontierfast_a08_k1024d10_escalate_d9d13d17d21_s100000_meanstates_cleps_v3/generated_mpp_sources/r=1,d=9,p=0.084978,noise=data_qubit_X,c=color_code_mpp,q=61,gates=mpp.stim",hexagonal color-code code-capacity bit-flip; data-qubit X_ERROR layer in MPP check circuit,60,61,1,156,8,100000,13253,13253,0,0,0.13253,0.13253000000000004,0.13044259397112115,0.13464563736184063,1024,10.0,4096,14.0,4096,14.0,0.8,bidirectional_committee,auto,native_binary,49728,50272,34,34,0.00034,0.0006268116098921746,0.0008961298968642945,0.000978263281285762,12159.33048,12152.21054,7.11994,6735.78716,64.20624295081967,55.22727229508197,512,512,3916.58082,3368.86361,7.075204501394182,20260602,d=9,0.1025,55.22727229508197
