decoder,Delta,K,status,trials,fail_total,fer,ci_low,ci_high,fer_per_round,per_round_ci_low,per_round_ci_high,logical_fail,syndrome_fail,exception_fail,truth_missing_terminal,truth_present_but_not_selected,bad_ranking,x_mean_list_size_per_side,x_coordinate_source,series,x_avg_retained_list_size_per_side_column,scan_transition_evals_total_mean,scan_mean_peak_side_list_size,scan_mean_frame_peak_list_size,scan_fail_total,scan_trials,plot_group,plot_x,source_decoder
FrontierFast D2/K8192,2.0,8192,complete,1000000,158952,0.158952,0.1582366860781246,0.1596699341555057,0.014321995814210675,0.014252162849628824,0.014392139345420607,12561,146391,0,12561,0,0,2.2597110000000002,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d2_s5000_v1,FrontierFast exact avg-retained x,1.01040954489,69780.5616,2.2645,2.5672,793,5000,FrontierFast Delta sweep,1.01040954489,
FrontierFast D4/K8192,4.0,8192,complete,1000000,3458,0.003458,0.0033448360830099465,0.003574978793626853,0.0002886243983922787,0.00027916457236110137,0.0002984041603893983,366,3092,0,366,0,0,3.7443545,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d4_s5000_v1,FrontierFast exact avg-retained x,1.05563725041,74360.6368,3.7563,4.3788,21,5000,FrontierFast Delta sweep,1.05563725041,
FrontierFast D6/K8192,6.0,8192,complete,2500000,1106,0.0004424,0.00041708942070794,0.00046924580089223575,3.6874144111354035e-05,3.476409793923274e-05,3.911222935981673e-05,103,1003,0,103,0,0,5.57321,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d6_s5000_v1,FrontierFast exact avg-retained x,1.18501206127,82664.2784,5.5962,6.7262,1,5000,FrontierFast Delta sweep,1.18501206127,
FrontierFast D8/K8192,8.0,8192,complete,2500000,174,6.96e-05,5.9998578442914184e-05,8.073778883217971e-05,5.800185028270732e-06,5.000019035694692e-06,6.728398056154994e-06,31,143,0,31,0,0,9.63508,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d8_s5000_v1,FrontierFast exact avg-retained x,1.65737288302,115755.8128,9.7477,11.9358,1,5000,FrontierFast Delta sweep,1.65737288302,
FrontierFast D10/K8192,10.0,8192,complete,7500000,40,5.333333333333334e-06,3.916922891230271e-06,7.261932559113897e-06,4.4444553082279015e-07,3.2641082692297374e-07,6.051630607739611e-07,13,27,0,12,1,1,19.9842,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d10_s5000_v1,FrontierFast exact avg-retained x,2.62423065038,181809.0656,20.116,24.9718,1,5000,FrontierFast Delta sweep,2.62423065038,
FrontierFast D12/K8192,12.0,8192,partial,11865000,12,1.011378002528445e-06,5.785723446135165e-07,1.7679468131308924e-06,8.428153930317706e-08,4.821437482593893e-08,1.4732902042791096e-07,6,6,0,4,2,2,37.93157959372395,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_k8192_d12_exact_state_scan_s5000_v1,FrontierFast exact avg-retained x,4.55489896403,311913.0144,36.5332,46.8664,0,5000,FrontierFast Delta sweep,4.55489896403,
FrontierFast D14/K8192,14.0,8192,complete,23580000,8,3.3927056827820187e-07,1.7191684744715898e-07,6.695358916659911e-07,2.8272551744201735e-08,1.4326405062270453e-08,5.5794674769238384e-08,5,3,0,4,1,1,71.7986225,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d14_s5000_v1,FrontierFast exact avg-retained x,8.18302696949,557384.0144,73.8109,96.9374,0,5000,FrontierFast Delta sweep,8.18302696949,
FrontierFast D20/K16384,20,16384,complete 20000/20000 chunks,100000000,3,3e-08,1.0202707334903524e-08,8.8211877091482e-08,2.4999999848063226e-09,8.502256676479192e-10,7.350990038901273e-09,3,0,0,0,3,3,725.862516936715,exact 5000-frame scan: sum_post_prune_state_count / processed_columns; results/20260614_bb144_p001_avg_retained_axis_scan_d20_s5000_v1,FrontierFast exact avg-retained x,99.9962730419,6724599.498,702.1123,934.0344,0,5000,FrontierFast Delta sweep,99.9962730419,
IonQ strong beam search (beam64 640iters),,,complete,15000000,17,1.1333333333333334e-06,7.076312242834571e-07,1.8151320510234024e-06,9.444449344808703e-08,5.896928778614807e-08,1.512611300658051e-07,15,2,0,,,,,horizontal reference band,reference,,,,,,,IonQ strong beam search (beam64 640iters),,IonQ strong beam search (beam64 640iters)
Tesseract short beam,,,paused canonical 50M + local fresh 50M..60M:1519/2000,57595000,6,1.0417570969702231e-07,4.7744663021597186e-08,2.2730452118022613e-07,8.681309560110151e-09,3.978722018516123e-09,1.894204537666866e-08,6,0,0,,,,,horizontal reference band,reference,,,,,,,Tesseract short beam,,Tesseract weak short_beam
