bin_left,bin_right,count,tail_count_ge_bin_left,tail_fraction_ge_bin_left,tail_ci_low95,tail_ci_high95
2361447.999999998,2491487.0002867524,5,2000000,1.0,0.9999980792742788,0.9999999999999999
2491487.0002867524,2628686.921159347,25,1999995,0.9999975,0.999994147134909,0.9999989321489735
2628686.921159347,2773442.0964985574,75,1999970,0.999985,0.9999785868964576,0.999989492435443
2773442.0964985574,2926168.575159907,276,1999895,0.9999475,0.9999364523741241,0.999956627101831
2926168.575159907,3087305.316762648,736,1999619,0.9998095,0.999789389281369,0.9998276907247063
3087305.316762648,3257315.453327923,1820,1998883,0.9994415,0.999407783322366,0.9994732980973633
3257315.453327923,3436687.620392104,3925,1997063,0.9985315,0.9984774636429438,0.9985836212725064
3436687.620392104,3625937.36142119,7708,1993138,0.996569,0.9964870011205248,0.9966490913337739
3625937.36142119,3825608.609562848,13824,1985430,0.992715,0.9925961916458123,0.9928319156134403
3825608.609562848,4036275.2509946954,23784,1971606,0.985803,0.9856381087335093,0.9859660250778555
4036275.2509946954,4258542.774362366,37392,1947822,0.973911,0.9736891749964729,0.9741310044974325
4258542.774362366,4493050.01104785,55824,1910430,0.955215,0.9549274759166184,0.9555007753970632
4493050.01104785,4740470.97127016,77974,1854606,0.927303,0.9269423446996089,0.9276620138366655
4740470.97127016,5001516.7812953545,100905,1776632,0.888316,0.8878787257226847,0.888751782580257
5001516.7812953545,5276937.7273238385,124705,1675727,0.8378635,0.8373520402705997,0.8383736618431709
5276937.7273238385,5567525.411929503,144764,1551022,0.775511,0.774932209194623,0.7760887324432485
5567525.411929503,5874115.029248374,159511,1406258,0.703129,0.7024954196932014,0.7037617999966086
5874115.029248374,6197587.765456351,167515,1246747,0.6233735,0.6227017378433036,0.6240447882233869
6197587.765456351,6538873.331435105,167558,1079232,0.539616,0.5389251511554513,0.5403066966616085
6538873.331435105,6898952.634905492,159129,911674,0.455837,0.45514684188910565,0.45652732776091426
6898952.634905492,7278860.599708788,145313,752545,0.3762725,0.3756013375660927,0.37694413772709057
7278860.599708788,7679689.1403384255,128167,607232,0.303616,0.3029791130732087,0.3042536413263913
7679689.1403384255,8102590.300271946,108278,479065,0.2395325,0.23894149942135645,0.2401245011518971
8102590.300271946,8548779.563122755,89471,370787,0.1853935,0.18485551941796605,0.1859326891276271
8548779.563122755,9019539.346128909,71276,281316,0.140658,0.14017685517937978,0.14114052521546439
9019539.346128909,9516222.686019389,55610,210040,0.10502,0.10459586910743433,0.10544564818905634
9516222.686019389,10040257.127851728,41925,154430,0.077215,0.07684586904601379,0.07758575506203425
10040257.127851728,10593148.827998353,31598,112505,0.0562525,0.055934027226411595,0.05657267740806228
10593148.827998353,11176486.88307376,22979,80907,0.0404535,0.04018133025581564,0.04072743506974958
11176486.88307376,11791947.897245122,16682,57928,0.028964,0.028732479697928342,0.029197329763993234
11791947.897245122,12441300.801053002,11939,41246,0.020623,0.02042695609990964,0.020820885403558413
12441300.801053002,13126411.935592374,8474,29307,0.0146535,0.014487897550141283,0.014820966884871157
13126411.935592374,13849250.416666958,6049,20833,0.0104165,0.010276728883689721,0.010558151827552483
13849250.416666958,14611893.794333665,4244,14784,0.007392,0.007274228229777962,0.007511664099934129
14611893.794333665,15416534.024104288,3115,10540,0.00527,0.005170601930314626,0.0053712985509574256
15416534.024104288,16265483.766966011,2142,7425,0.0037125,0.0036291612978607514,0.0037977451664719213
16265483.766966011,17161183.03632819,1489,5283,0.0026415,0.0025713138269258837,0.0027135967516012847
17161183.03632819,18106206.210999884,1025,3794,0.001897,0.0018376440334815034,0.0019582694050062632
